area_type,location,size,total_sqft,bath,balcony,price,no_of_bedrooms,price_per_sqft
Super built-up  Area,1st Block Jayanagar,4 BHK,2850,4,1,428,4,15017.54386
Super built-up  Area,1st Block Jayanagar,3 BHK,1630,3,2,194,3,11901.84049
Super built-up  Area,1st Block Jayanagar,3 BHK,1875,2,3,235,3,12533.33333
Built-up  Area,1st Block Jayanagar,3 BHK,1200,2,0,130,3,10833.33333
Super built-up  Area,1st Block Jayanagar,2 BHK,1235,2,2,148,2,11983.80567
Super built-up  Area,1st Block Jayanagar,4 BHK,2750,4,0,413,4,15018.18182
Super built-up  Area,1st Block Jayanagar,4 BHK,2450,4,2,368,4,15020.40816
Super built-up  Area,1st Phase JP Nagar,4 BHK,2825,4,3,250,4,8849.557522
Super built-up  Area,1st Phase JP Nagar,3 BHK,1875,3,1,167,3,8906.666667
Built-up  Area,1st Phase JP Nagar,5 Bedroom,1500,5,2,85,5,5666.666667
Super built-up  Area,1st Phase JP Nagar,3 BHK,2065,4,1,210,3,10169.49153
Super built-up  Area,1st Phase JP Nagar,3 BHK,2024,3,2,157,3,7756.916996
Super built-up  Area,1st Phase JP Nagar,3 BHK,2059,3,2,225,3,10927.63477
Super built-up  Area,1st Phase JP Nagar,2 BHK,1394,2,1,100,2,7173.601148
Super built-up  Area,1st Phase JP Nagar,2 BHK,1077,2,2,93,2,8635.097493
Built-up  Area,1st Phase JP Nagar,1 BHK,839.907117,1,1,63,1,7500.829404
Plot  Area,1st Phase JP Nagar,2 Bedroom,1566,2,0,180,2,11494.25287
Built-up  Area,1st Phase JP Nagar,1 BHK,840,2,2,50,1,5952.380952
Super built-up  Area,1st Phase JP Nagar,3 BHK,1590,3,3,131,3,8238.993711
Super built-up  Area,1st Phase JP Nagar,3 BHK,2180,3,2,210,3,9633.027523
Super built-up  Area,1st Phase JP Nagar,2 BHK,1180,2,2,88.5,2,7500
Super built-up  Area,1st Phase JP Nagar,2 BHK,1200,2,2,86,2,7166.666667
Built-up  Area,1st Phase JP Nagar,2 BHK,1394,2,2,85,2,6097.560976
Super built-up  Area,1st Phase JP Nagar,3 BHK,2077,3,3,175,3,8425.613866
Super built-up  Area,1st Phase JP Nagar,4 BHK,4550,2,1,240,4,5274.725275
Super built-up  Area,1st Phase JP Nagar,2 BHK,1205,2,1,85,2,7053.941909
Super built-up  Area,1st Phase JP Nagar,4 BHK,2615,5,3,222,4,8489.483748
Super built-up  Area,1st Phase JP Nagar,2 BHK,900,2,1,75,2,8333.333333
Super built-up  Area,2nd Phase Judicial Layout,3 BHK,1450,2,1,50.75,3,3500
Super built-up  Area,2nd Phase Judicial Layout,2 BHK,1150,2,1,40.25,2,3500
Super built-up  Area,2nd Phase Judicial Layout,3 BHK,1350,2,2,47.25,3,3500
Super built-up  Area,2nd Phase Judicial Layout,3 BHK,1350,2,2,47.25,3,3500
Super built-up  Area,2nd Phase Judicial Layout,2 BHK,900,2,2,41,2,4555.555556
Super built-up  Area,2nd Phase Judicial Layout,3 BHK,1681,3,3,69,3,4104.699584
Super built-up  Area,2nd Phase Judicial Layout,3 BHK,1350,2,2,47.25,3,3500
